iter	Passed	Remaining
0	0	94
1	1	68
2	2	69
3	2	70
4	3	70
5	4	69
6	5	68
7	5	68
8	6	68
9	7	64
10	7	64
11	8	63
12	9	63
13	10	62
14	10	61
15	11	60
16	12	60
17	13	59
18	13	58
19	14	58
20	15	56
21	15	55
22	16	54
23	17	54
24	17	53
25	18	53
26	19	52
27	20	52
28	21	51
29	21	50
30	22	50
31	23	49
32	24	48
33	24	48
34	25	47
35	26	46
36	26	45
37	27	45
38	28	44
39	29	43
40	29	42
41	30	42
42	31	41
43	32	40
44	32	40
45	33	39
46	34	38
47	34	37
48	35	36
49	35	35
50	36	34
51	37	34
52	37	33
53	38	32
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	43	28
60	43	28
61	44	27
62	45	26
63	46	26
64	47	25
65	47	24
66	48	23
67	48	22
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	54	16
77	55	15
78	56	14
79	57	14
80	57	13
81	58	12
82	59	12
83	59	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	64	7
90	64	6
91	65	5
92	66	5
93	67	4
94	68	3
95	68	2
96	69	2
97	70	1
98	70	0
99	71	0
